cultivar,orchard_id,year,month,BE_packout_delta_mean,BE_packout_delta_p10,BE_packout_delta_median,BE_packout_delta_p90
Honeycrisp,HC_O1,2022,September,0.0008781293242819295,0.0002786290097499372,0.0008781293242819295,0.0014783214061919942
Honeycrisp,HC_O1,2022,October,0.0008589131839225352,0.0002774673511015431,0.0008589131839225352,0.001451543322584
Honeycrisp,HC_O1,2022,November,0.000790055536800549,0.00024677521130055314,0.000790055536800549,0.001344034030369871
Honeycrisp,HC_O1,2022,December,0.28072240026554585,0.0300605946240719,0.28072240026554585,0.5569248548668524
Honeycrisp,HC_O1,2022,January,0.2766840208693676,0.03344656341604421,0.2766840208693676,0.5633429811134147
Honeycrisp,HC_O1,2022,February,0.2793988151264823,0.029998529199099906,0.2793988151264823,0.5645765582444485
Honeycrisp,HC_O1,2022,March,0.02701263633827379,0.0006669707646872313,0.02701263633827379,0.6158923688563199
Honeycrisp,HC_O1,2022,April,0.026835779007513688,0.000688642078857312,0.026835779007513688,0.6121950205303675
Honeycrisp,HC_O1,2022,May,0.025635394984939466,0.0006306980328078643,0.025635394984939466,0.6115002240708335
Honeycrisp,HC_O1,2022,June,0.37397060904861656,0.10207685582310917,0.37397060904861656,0.6911226474672024
Honeycrisp,HC_O1,2022,July,0.38137910818015686,0.10184799590234947,0.38137910818015686,0.6997741634890993
Honeycrisp,HC_O1,2022,August,0.37262270668794023,0.09971706630579692,0.37262270668794023,0.69451860003895
Honeycrisp,HC_O1,2023,September,0.0008724096596080483,0.00027534490751409643,0.0008724096596080483,0.0014864847831919938
Honeycrisp,HC_O1,2023,October,0.0008681996453951489,0.00027595995113056227,0.0008681996453951489,0.0014503781610619843
Honeycrisp,HC_O1,2023,November,0.000801745334802756,0.0002572020760017906,0.000801745334802756,0.0013503786130791469
Honeycrisp,HC_O1,2023,December,0.0014818390230854385,0.00036165485232608676,0.0014818390230854385,0.053812418640635844
Honeycrisp,HC_O1,2023,January,0.001440737681659313,0.0003604180766121288,0.001440737681659313,0.05305768565674779
Honeycrisp,HC_O1,2023,February,0.001426425475379451,0.0003418770264726118,0.001426425475379451,0.05411134851065607
Honeycrisp,HC_O1,2023,March,0.0008958334903131687,-0.004904344670776452,0.0008958334903131687,0.02468650174013063
Honeycrisp,HC_O1,2023,April,0.0008831967005248039,-0.005271427207850654,0.0008831967005248039,0.024363234716470943
Honeycrisp,HC_O1,2023,May,0.0008493497501202911,-0.0053435559816010164,0.0008493497501202911,0.022722800651811655
Honeycrisp,HC_O1,2023,June,0.0011307341460969078,0.00027003938746167453,0.0011307341460969078,0.027364344078166007
Honeycrisp,HC_O1,2023,July,0.001085771231147226,0.0002572849428935603,0.001085771231147226,0.026772376063903043
Honeycrisp,HC_O1,2023,August,0.0011653938216239544,0.000281107110808697,0.0011653938216239544,0.028000525481618806
Honeycrisp,HC_O1,2024,September,0.0008851618461816241,0.00028937904898493805,0.0008851618461816241,0.001489627414438683
Honeycrisp,HC_O1,2024,October,0.0008748680050137201,0.00027327457542217616,0.0008748680050137201,0.0014681162567383762
Honeycrisp,HC_O1,2024,November,0.0008039792162019174,0.00024910656126907215,0.0008039792162019174,0.0013468954534687886
Honeycrisp,HC_O1,2024,December,-0.0031079063879685285,-0.0835693106016877,-0.0031079063879685285,0.0011003278430102544
Honeycrisp,HC_O1,2024,January,-0.0027605052873777027,-0.08023242506977922,-0.0027605052873777027,0.0010688318052389759
Honeycrisp,HC_O1,2024,February,-0.002979937755025642,-0.08041728497747885,-0.002979937755025642,0.0010523817235911165
Honeycrisp,HC_O1,2024,March,-0.06297023585842818,-0.09963542321894371,-0.06297023585842818,-0.03547828722897238
Honeycrisp,HC_O1,2024,April,-0.06275217128641894,-0.09937738174286592,-0.06275217128641894,-0.03547540545961224
Honeycrisp,HC_O1,2024,May,-0.06280540389155374,-0.10105887520456121,-0.06280540389155374,-0.03546722720316082
Honeycrisp,HC_O1,2024,June,0.0007539250743438925,-0.025782510945956336,0.0007539250743438925,0.02499162828131959
Honeycrisp,HC_O1,2024,July,0.0007491604788708723,-0.025968692483049213,0.0007491604788708723,0.026775784683178927
Honeycrisp,HC_O1,2024,August,0.0007717049760501611,-0.027354539077060574,0.0007717049760501611,0.02621791358010056
Honeycrisp,HC_O2,2022,September,0.0008766884864788989,0.00028081399047675377,0.0008766884864788989,0.0014849955458285135
Honeycrisp,HC_O2,2022,October,0.0008635606994511547,0.00026417288886024714,0.0008635606994511547,0.0014582730150439057
Honeycrisp,HC_O2,2022,November,0.0008061760070020242,0.0002572424731495376,0.0008061760070020242,0.001348732302871056
Honeycrisp,HC_O2,2022,December,0.03394728905766978,-0.09539622367457688,0.03394728905766978,0.15826710379219655
Honeycrisp,HC_O2,2022,January,0.033931442837177875,-0.09756656866592793,0.033931442837177875,0.16240943856198137
Honeycrisp,HC_O2,2022,February,0.03238894597360273,-0.10184018287397986,0.03238894597360273,0.15954145530563416
Honeycrisp,HC_O2,2022,March,0.0009672317516162664,-0.22667739627205577,0.0009672317516162664,0.5806492567006086
Honeycrisp,HC_O2,2022,April,0.0010881112707043076,-0.22138866108793573,0.0010881112707043076,0.5816346879478551
Honeycrisp,HC_O2,2022,May,0.001108446339813462,-0.2273334371802788,0.001108446339813462,0.5986222143724459
Honeycrisp,HC_O2,2022,June,-0.08157450535367836,-0.12094221400866584,-0.08157450535367836,0.1722024912188991
Honeycrisp,HC_O2,2022,July,-0.08209938556253188,-0.12039564732198778,-0.08209938556253188,0.1643799737741957
Honeycrisp,HC_O2,2022,August,-0.07943644331401255,-0.12006033022407554,-0.07943644331401255,0.17364778757169216
Honeycrisp,HC_O2,2023,September,0.000886397645312194,0.00026919301267355614,0.000886397645312194,0.0014922776181404988
Honeycrisp,HC_O2,2023,October,0.0008725484996924337,0.0002810474409507816,0.0008725484996924337,0.0014513774708299818
Honeycrisp,HC_O2,2023,November,0.0008060765711300922,0.00025226891805372667,0.0008060765711300922,0.0013447113497825727
Honeycrisp,HC_O2,2023,December,0.07364756272904083,0.0008757324997196391,0.07364756272904083,0.15602446016044955
Honeycrisp,HC_O2,2023,January,0.07384186904727333,0.002992505343623386,0.07384186904727333,0.1531951212784939
Honeycrisp,HC_O2,2023,February,0.07350890255685669,0.006002449057481544,0.07350890255685669,0.15440116382224298
Honeycrisp,HC_O2,2023,March,0.014316948145935812,-0.04740618496469292,0.014316948145935812,0.23649889742055247
Honeycrisp,HC_O2,2023,April,0.014876003551510754,-0.051339053972852176,0.014876003551510754,0.23727695203802882
Honeycrisp,HC_O2,2023,May,0.01594324737772644,-0.04991689225766668,0.01594324737772644,0.24154400287173136
Honeycrisp,HC_O2,2023,June,-0.06517093140505524,-0.13849856991712106,-0.06517093140505524,0.0785221353353205
Honeycrisp,HC_O2,2023,July,-0.06671849490238725,-0.13854640353390565,-0.06671849490238725,0.08208307928872491
Honeycrisp,HC_O2,2023,August,-0.06524407891159911,-0.1407649260725696,-0.06524407891159911,0.0802364536964657
Honeycrisp,HC_O2,2024,September,0.0008825305979274741,0.000279976884761246,0.0008825305979274741,0.0014736950376333777
Honeycrisp,HC_O2,2024,October,0.0008651053170315973,0.0002681328251175585,0.0008651053170315973,0.0014628150511541373
Honeycrisp,HC_O2,2024,November,0.0007985069537126423,0.00024667187936863033,0.0007985069537126423,0.0013388834917599849
Honeycrisp,HC_O2,2024,December,0.11314677850455873,-0.051131601616110106,0.11314677850455873,0.2685096925875993
Honeycrisp,HC_O2,2024,January,0.11404066684094843,-0.05195905297974645,0.11404066684094843,0.2684901273151065
Honeycrisp,HC_O2,2024,February,0.11428400828102742,-0.056612929213800456,0.11428400828102742,0.27068102009677586
Honeycrisp,HC_O2,2024,March,0.43383581175005914,0.25759063010229283,0.43383581175005914,0.5808675974573217
Honeycrisp,HC_O2,2024,April,0.4306088012668187,0.25682323692716297,0.4306088012668187,0.5770658986606686
Honeycrisp,HC_O2,2024,May,0.4279904442946102,0.25446355029180734,0.4279904442946102,0.5798003520830787
Honeycrisp,HC_O2,2024,June,0.10895575931790347,0.027849691919175062,0.10895575931790347,0.20075461353221885
Honeycrisp,HC_O2,2024,July,0.10956930660345073,0.03015345758653425,0.10956930660345073,0.2024447717858543
Honeycrisp,HC_O2,2024,August,0.10823873436746168,0.029592379178642794,0.10823873436746168,0.2010742955056427
