cultivar,orchard_id,year,technology,interval_months,replicate_id,marketable
Gala,GA_O1,2022,CA,3,1,0.9916666666666667
Gala,GA_O1,2022,CA,3,2,0.9824074074074074
Gala,GA_O1,2022,CA,3,3,1.0
Gala,GA_O1,2022,CA,6,1,0.9791666666666667
Gala,GA_O1,2022,CA,6,2,1.0
Gala,GA_O1,2022,CA,6,3,0.9583333333333334
Gala,GA_O1,2022,CA,9,1,0.7604166666666666
Gala,GA_O1,2022,CA,9,2,0.7244897959183674
Gala,GA_O1,2022,CA,9,3,0.769047619047619
Gala,GA_O1,2022,DCA,3,1,1.0
Gala,GA_O1,2022,DCA,3,2,1.0
Gala,GA_O1,2022,DCA,3,3,1.0
Gala,GA_O1,2022,DCA,6,1,0.9642857142857143
Gala,GA_O1,2022,DCA,6,2,0.8928571428571428
Gala,GA_O1,2022,DCA,6,3,1.0
Gala,GA_O1,2022,DCA,9,1,0.9411764705882353
Gala,GA_O1,2022,DCA,9,2,0.7352941176470588
Gala,GA_O1,2022,DCA,9,3,0.7352941176470588
Gala,GA_O1,2022,RA,3,1,0.9916666666666667
Gala,GA_O1,2022,RA,3,2,1.0
Gala,GA_O1,2022,RA,3,3,0.9907407407407407
Gala,GA_O1,2022,RA,6,1,0.9791666666666667
Gala,GA_O1,2022,RA,6,2,1.0
Gala,GA_O1,2022,RA,6,3,0.9895833333333333
Gala,GA_O1,2022,RA,9,1,0.59375
Gala,GA_O1,2022,RA,9,2,0.6770833333333333
Gala,GA_O1,2022,RA,9,3,0.53125
Gala,GA_O1,2023,CA,3,1,1.0
Gala,GA_O1,2023,CA,3,2,1.0
Gala,GA_O1,2023,CA,3,3,1.0
Gala,GA_O1,2023,CA,6,1,0.9833333333333334
Gala,GA_O1,2023,CA,6,2,0.9916666666666667
Gala,GA_O1,2023,CA,6,3,0.9916666666666667
Gala,GA_O1,2023,CA,9,1,0.925
Gala,GA_O1,2023,CA,9,2,0.95
Gala,GA_O1,2023,CA,9,3,0.8916666666666666
Gala,GA_O1,2023,DCA,3,1,1.0
Gala,GA_O1,2023,DCA,3,2,1.0
Gala,GA_O1,2023,DCA,3,3,1.0
Gala,GA_O1,2023,DCA,6,1,1.0
Gala,GA_O1,2023,DCA,6,2,1.0
Gala,GA_O1,2023,DCA,6,3,1.0
Gala,GA_O1,2023,DCA,9,1,0.9594594594594594
Gala,GA_O1,2023,DCA,9,2,0.9459459459459459
Gala,GA_O1,2023,DCA,9,3,1.0
Gala,GA_O1,2023,RA,3,1,1.0
Gala,GA_O1,2023,RA,3,2,1.0
Gala,GA_O1,2023,RA,3,3,1.0
Gala,GA_O1,2023,RA,6,1,0.9833333333333334
Gala,GA_O1,2023,RA,6,2,1.0
Gala,GA_O1,2023,RA,6,3,1.0
Gala,GA_O1,2023,RA,9,1,0.975
Gala,GA_O1,2023,RA,9,2,0.95
Gala,GA_O1,2023,RA,9,3,0.925
Gala,GA_O1,2024,CA,3,1,1.0
Gala,GA_O1,2024,CA,3,2,1.0
Gala,GA_O1,2024,CA,3,3,1.0
Gala,GA_O1,2024,CA,6,1,0.8166666666666667
Gala,GA_O1,2024,CA,6,2,0.85
Gala,GA_O1,2024,CA,6,3,0.8666666666666667
Gala,GA_O1,2024,CA,9,1,0.7
Gala,GA_O1,2024,CA,9,2,0.75
Gala,GA_O1,2024,CA,9,3,0.6749999999999999
Gala,GA_O1,2024,DCA,3,1,1.0
Gala,GA_O1,2024,DCA,3,2,1.0
Gala,GA_O1,2024,DCA,3,3,1.0
Gala,GA_O1,2024,DCA,6,1,1.0
Gala,GA_O1,2024,DCA,6,2,1.0
Gala,GA_O1,2024,DCA,6,3,1.0
Gala,GA_O1,2024,DCA,9,1,0.9772727272727273
Gala,GA_O1,2024,DCA,9,2,0.9772727272727273
Gala,GA_O1,2024,DCA,9,3,0.9772727272727273
Gala,GA_O1,2024,RA,3,1,1.0
Gala,GA_O1,2024,RA,3,2,1.0
Gala,GA_O1,2024,RA,3,3,1.0
Gala,GA_O1,2024,RA,6,1,0.9333333333333333
Gala,GA_O1,2024,RA,6,2,0.9166666666666667
Gala,GA_O1,2024,RA,6,3,0.8583333333333334
Gala,GA_O1,2024,RA,9,1,0.5666666666666667
Gala,GA_O1,2024,RA,9,2,0.5250000000000001
Gala,GA_O1,2024,RA,9,3,0.65
Honeycrisp,HC_O1,2022,CA,3,1,0.9009259259259259
Honeycrisp,HC_O1,2022,CA,3,2,0.8425925925925927
Honeycrisp,HC_O1,2022,CA,3,3,0.8870370370370371
Honeycrisp,HC_O1,2022,CA,6,1,1.0
Honeycrisp,HC_O1,2022,CA,6,2,1.0
Honeycrisp,HC_O1,2022,CA,6,3,1.0
Honeycrisp,HC_O1,2022,CA,9,1,1.0
Honeycrisp,HC_O1,2022,CA,9,2,0.8909090909090909
Honeycrisp,HC_O1,2022,CA,9,3,1.0
Honeycrisp,HC_O1,2022,DCA,3,1,0.6370192307692307
Honeycrisp,HC_O1,2022,DCA,3,2,0.4627403846153846
Honeycrisp,HC_O1,2022,DCA,3,3,0.6718749999999999
Honeycrisp,HC_O1,2022,DCA,6,1,0.6348387096774194
Honeycrisp,HC_O1,2022,DCA,6,2,0.7777777777777778
Honeycrisp,HC_O1,2022,DCA,6,3,0.868421052631579
Honeycrisp,HC_O1,2022,DCA,9,1,0.6551724137931034
Honeycrisp,HC_O1,2022,DCA,9,2,0.48214285714285715
Honeycrisp,HC_O1,2022,DCA,9,3,0.625
Honeycrisp,HC_O1,2022,RA,3,1,0.9907407407407407
Honeycrisp,HC_O1,2022,RA,3,2,0.9830508474576272
Honeycrisp,HC_O1,2022,RA,3,3,0.936840422129837
Honeycrisp,HC_O1,2022,RA,6,1,0.9799277395
Honeycrisp,HC_O1,2022,RA,6,2,0.788639101
Honeycrisp,HC_O1,2022,RA,6,3,0.9893617020000001
Honeycrisp,HC_O1,2022,RA,9,1,0.8148148148148149
Honeycrisp,HC_O1,2022,RA,9,2,0.9907407407407407
Honeycrisp,HC_O1,2022,RA,9,3,0.9537037037037037
Honeycrisp,HC_O1,2023,CA,3,1,1.0
Honeycrisp,HC_O1,2023,CA,3,2,1.0
Honeycrisp,HC_O1,2023,CA,3,3,1.0
Honeycrisp,HC_O1,2023,CA,6,1,0.9916666666666667
Honeycrisp,HC_O1,2023,CA,6,2,1.0
Honeycrisp,HC_O1,2023,CA,6,3,1.0
Honeycrisp,HC_O1,2023,CA,9,1,1.0
Honeycrisp,HC_O1,2023,CA,9,2,1.0
Honeycrisp,HC_O1,2023,CA,9,3,1.0
Honeycrisp,HC_O1,2023,DCA,3,1,1.0
Honeycrisp,HC_O1,2023,DCA,3,2,1.0
Honeycrisp,HC_O1,2023,DCA,3,3,0.9444444444444444
Honeycrisp,HC_O1,2023,DCA,6,1,1.0
Honeycrisp,HC_O1,2023,DCA,6,2,0.9722222222222222
Honeycrisp,HC_O1,2023,DCA,6,3,1.0
Honeycrisp,HC_O1,2023,DCA,9,1,0.9722222222222222
Honeycrisp,HC_O1,2023,DCA,9,2,1.0
Honeycrisp,HC_O1,2023,DCA,9,3,1.0
Honeycrisp,HC_O1,2023,RA,3,1,1.0
Honeycrisp,HC_O1,2023,RA,3,2,1.0
Honeycrisp,HC_O1,2023,RA,3,3,1.0
Honeycrisp,HC_O1,2023,RA,6,1,0.9916666666666667
Honeycrisp,HC_O1,2023,RA,6,2,1.0
Honeycrisp,HC_O1,2023,RA,6,3,1.0
Honeycrisp,HC_O1,2023,RA,9,1,1.0
Honeycrisp,HC_O1,2023,RA,9,2,1.0
Honeycrisp,HC_O1,2023,RA,9,3,0.986111111111111
Honeycrisp,HC_O1,2024,CA,3,1,0.975
Honeycrisp,HC_O1,2024,CA,3,2,1.0
Honeycrisp,HC_O1,2024,CA,3,3,0.9416666666666667
Honeycrisp,HC_O1,2024,CA,6,1,0.95
Honeycrisp,HC_O1,2024,CA,6,2,0.95
Honeycrisp,HC_O1,2024,CA,6,3,0.9
Honeycrisp,HC_O1,2024,CA,9,1,0.9666666666666667
Honeycrisp,HC_O1,2024,CA,9,2,1.0
Honeycrisp,HC_O1,2024,CA,9,3,1.0
Honeycrisp,HC_O1,2024,DCA,3,1,1.0
Honeycrisp,HC_O1,2024,DCA,3,2,1.0
Honeycrisp,HC_O1,2024,DCA,3,3,1.0
Honeycrisp,HC_O1,2024,DCA,6,1,1.0
Honeycrisp,HC_O1,2024,DCA,6,2,1.0
Honeycrisp,HC_O1,2024,DCA,6,3,1.0
Honeycrisp,HC_O1,2024,DCA,9,1,0.96875
Honeycrisp,HC_O1,2024,DCA,9,2,1.0
Honeycrisp,HC_O1,2024,DCA,9,3,1.0
Honeycrisp,HC_O1,2024,RA,3,1,0.9916666666666667
Honeycrisp,HC_O1,2024,RA,3,2,1.0
Honeycrisp,HC_O1,2024,RA,3,3,1.0
Honeycrisp,HC_O1,2024,RA,6,1,0.7666666666666666
Honeycrisp,HC_O1,2024,RA,6,2,0.8333333333333335
Honeycrisp,HC_O1,2024,RA,6,3,0.8833333333333333
Honeycrisp,HC_O1,2024,RA,9,1,0.44999999999999996
Honeycrisp,HC_O1,2024,RA,9,2,0.65
Honeycrisp,HC_O1,2024,RA,9,3,0.41666666666666663
Honeycrisp,HC_O2,2022,CA,3,1,0.8055555555
Honeycrisp,HC_O2,2022,CA,3,2,0.8240740740000001
Honeycrisp,HC_O2,2022,CA,3,3,0.8546296295
Honeycrisp,HC_O2,2022,CA,6,1,0.7555555555
Honeycrisp,HC_O2,2022,CA,6,2,0.9895833334999999
Honeycrisp,HC_O2,2022,CA,6,3,0.9279405860000001
Honeycrisp,HC_O2,2022,CA,9,1,0.8888888884999999
Honeycrisp,HC_O2,2022,CA,9,2,0.8796296294999999
Honeycrisp,HC_O2,2022,CA,9,3,0.9166666665000001
Honeycrisp,HC_O2,2022,DCA,3,1,0.8193277310924371
Honeycrisp,HC_O2,2022,DCA,3,2,0.8249158249158249
Honeycrisp,HC_O2,2022,DCA,3,3,0.7457912457912458
Honeycrisp,HC_O2,2022,DCA,6,1,0.5923076923076923
Honeycrisp,HC_O2,2022,DCA,6,2,0.7857142857142857
Honeycrisp,HC_O2,2022,DCA,6,3,0.825
Honeycrisp,HC_O2,2022,DCA,9,1,0.9310344827586207
Honeycrisp,HC_O2,2022,DCA,9,2,0.8928571428571428
Honeycrisp,HC_O2,2022,DCA,9,3,0.8928571428571427
Honeycrisp,HC_O2,2022,RA,3,1,0.7101851851851853
Honeycrisp,HC_O2,2022,RA,3,2,0.7092592592592593
Honeycrisp,HC_O2,2022,RA,3,3,0.7694444444444444
Honeycrisp,HC_O2,2022,RA,6,1,0.49189814814814814
Honeycrisp,HC_O2,2022,RA,6,2,0.8541666666666667
Honeycrisp,HC_O2,2022,RA,6,3,0.90625
Honeycrisp,HC_O2,2022,RA,9,1,0.7458492975734354
Honeycrisp,HC_O2,2022,RA,9,2,0.8095238095238095
Honeycrisp,HC_O2,2022,RA,9,3,0.7718253968253969
Honeycrisp,HC_O2,2023,CA,3,1,1.0
Honeycrisp,HC_O2,2023,CA,3,2,0.975
Honeycrisp,HC_O2,2023,CA,3,3,0.95
Honeycrisp,HC_O2,2023,CA,6,1,0.9416666666666667
Honeycrisp,HC_O2,2023,CA,6,2,0.9833333333333334
Honeycrisp,HC_O2,2023,CA,6,3,0.9833333333333333
Honeycrisp,HC_O2,2023,CA,9,1,0.8888888888888888
Honeycrisp,HC_O2,2023,CA,9,2,0.8472222222222222
Honeycrisp,HC_O2,2023,CA,9,3,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,3,1,0.8472222222222222
Honeycrisp,HC_O2,2023,DCA,3,2,0.9305555555555555
Honeycrisp,HC_O2,2023,DCA,3,3,0.9305555555555555
Honeycrisp,HC_O2,2023,DCA,6,1,0.875
Honeycrisp,HC_O2,2023,DCA,6,2,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,6,3,0.9722222222222222
Honeycrisp,HC_O2,2023,DCA,9,1,0.9305555555555555
Honeycrisp,HC_O2,2023,DCA,9,2,0.9166666666666666
Honeycrisp,HC_O2,2023,DCA,9,3,0.9583333333333333
Honeycrisp,HC_O2,2023,RA,3,1,0.9666666666666667
Honeycrisp,HC_O2,2023,RA,3,2,0.9666666666666666
Honeycrisp,HC_O2,2023,RA,3,3,0.9333333333333332
Honeycrisp,HC_O2,2023,RA,6,1,0.975
Honeycrisp,HC_O2,2023,RA,6,2,0.9249999999999998
Honeycrisp,HC_O2,2023,RA,6,3,0.8833333333333333
Honeycrisp,HC_O2,2023,RA,9,1,0.986111111111111
Honeycrisp,HC_O2,2023,RA,9,2,0.9722222222222221
Honeycrisp,HC_O2,2023,RA,9,3,0.9305555555555555
Honeycrisp,HC_O2,2024,CA,3,1,0.7916666666666667
Honeycrisp,HC_O2,2024,CA,3,2,0.7583333333333333
Honeycrisp,HC_O2,2024,CA,3,3,0.8416666666666667
Honeycrisp,HC_O2,2024,CA,6,1,0.75
Honeycrisp,HC_O2,2024,CA,6,2,0.7833333333333333
Honeycrisp,HC_O2,2024,CA,6,3,0.7833333333333333
Honeycrisp,HC_O2,2024,CA,9,1,0.8666666666666667
Honeycrisp,HC_O2,2024,CA,9,2,0.8833333333333333
Honeycrisp,HC_O2,2024,CA,9,3,0.9
Honeycrisp,HC_O2,2024,DCA,3,1,0.625
Honeycrisp,HC_O2,2024,DCA,3,2,0.640625
Honeycrisp,HC_O2,2024,DCA,3,3,0.796875
Honeycrisp,HC_O2,2024,DCA,6,1,0.515625
Honeycrisp,HC_O2,2024,DCA,6,2,0.3125
Honeycrisp,HC_O2,2024,DCA,6,3,0.21875
Honeycrisp,HC_O2,2024,DCA,9,1,0.6875
Honeycrisp,HC_O2,2024,DCA,9,2,0.78125
Honeycrisp,HC_O2,2024,DCA,9,3,0.84375
Honeycrisp,HC_O2,2024,RA,3,1,0.825
Honeycrisp,HC_O2,2024,RA,3,2,0.8083333333333333
Honeycrisp,HC_O2,2024,RA,3,3,0.675
Honeycrisp,HC_O2,2024,RA,6,1,0.8333333333333335
Honeycrisp,HC_O2,2024,RA,6,2,0.4
Honeycrisp,HC_O2,2024,RA,6,3,0.6666666666666665
Honeycrisp,HC_O2,2024,RA,9,1,0.2833333333333333
Honeycrisp,HC_O2,2024,RA,9,2,0.13333333333333341
Honeycrisp,HC_O2,2024,RA,9,3,0.2666666666666666
